step,mode,qid,expected_tier,predicted_tier,role,provider,model,tokens_in,tokens_out,reasoning_tokens,cached_tokens,cost_usd,latency_s,cached_call,score
5,B,S7,simple,simple,intent,ollama,gemma4:12b,195,2,0,0,0.0,16.457,True,
5,B,S7,simple,simple,simple,ollama,gemma4:12b,103,387,0,0,0.0,97.91,True,
5,B,S8,simple,simple,intent,ollama,gemma4:12b,206,2,0,0,0.0,17.814,True,
5,B,S8,simple,simple,simple,ollama,gemma4:12b,114,199,0,0,0.0,53.396,True,
5,B,M1,medium,medium,intent,ollama,gemma4:12b,203,2,0,0,0.0,17.347,True,
5,B,M1,medium,medium,medium,openai,gpt-5-mini,91,1938,1472,0,0.00389875,22.533,True,
5,B,M2,medium,medium,intent,ollama,gemma4:12b,206,2,0,0,0.0,17.304,True,
5,B,M2,medium,medium,medium,openai,gpt-5-mini,95,1689,1600,0,0.00340175,19.939,True,
5,B,M3,medium,hard,intent,ollama,gemma4:12b,205,2,0,0,0.0,18.653,True,
5,B,M3,medium,hard,hard,openai,gpt-5,94,3151,2816,0,0.0316275,38.393,True,
5,B,M4,medium,medium,intent,ollama,gemma4:12b,202,2,0,0,0.0,16.828,True,
5,B,M4,medium,medium,medium,openai,gpt-5-mini,90,2872,1792,0,0.0057665,33.123,True,
5,B,M5,medium,medium,intent,ollama,gemma4:12b,200,2,0,0,0.0,17.749,True,
5,B,M5,medium,medium,medium,openai,gpt-5-mini,90,2684,1984,0,0.0053905,33.147,True,
5,B,M6,medium,medium,intent,ollama,gemma4:12b,200,2,0,0,0.0,19.117,True,
5,B,M6,medium,medium,medium,openai,gpt-5-mini,89,2874,2496,0,0.00577025,41.556,True,
5,B,M7,medium,medium,intent,ollama,gemma4:12b,204,2,0,0,0.0,18.697,True,
5,B,M7,medium,medium,medium,openai,gpt-5-mini,93,2218,1664,0,0.00445925,28.722,True,
5,B,M8,medium,medium,intent,ollama,gemma4:12b,203,2,0,0,0.0,19.323,True,
5,B,M8,medium,medium,medium,openai,gpt-5-mini,92,2154,1920,0,0.004331,26.836,True,
5,B,H1,hard,hard,intent,ollama,gemma4:12b,209,2,0,0,0.0,18.692,True,
5,B,H1,hard,hard,hard,openai,gpt-5,98,2169,1984,0,0.0218125,32.385,True,
5,B,H2,hard,hard,intent,ollama,gemma4:12b,225,2,0,0,0.0,18.643,True,
5,B,H2,hard,hard,hard,openai,gpt-5,108,6056,5056,0,0.060695,86.614,True,
5,B,H3,hard,hard,intent,ollama,gemma4:12b,217,2,0,0,0.0,18.851,True,
5,B,H3,hard,hard,hard,openai,gpt-5,102,4272,3840,0,0.0428475,60.355,True,
5,B,H4,hard,hard,intent,ollama,gemma4:12b,221,2,0,0,0.0,17.951,True,
5,B,H4,hard,hard,hard,openai,gpt-5,102,6598,5440,0,0.0661075,82.385,True,
5,B,H5,hard,hard,intent,ollama,gemma4:12b,221,2,0,0,0.0,18.019,True,
5,B,H5,hard,hard,hard,openai,gpt-5,109,2866,2752,0,0.02879625,32.029,True,
5,B,H6,hard,hard,intent,ollama,gemma4:12b,239,2,0,0,0.0,19.032,True,
5,B,H6,hard,hard,hard,openai,gpt-5,123,3957,3328,0,0.03972375,41.479,True,
5,B,H7,hard,hard,intent,ollama,gemma4:12b,219,2,0,0,0.0,17.613,True,
5,B,H7,hard,hard,hard,openai,gpt-5,109,2914,2560,0,0.02927625,26.856,True,
5,B,H8,hard,hard,intent,ollama,gemma4:12b,223,2,0,0,0.0,19.392,True,
5,B,H8,hard,hard,hard,openai,gpt-5,112,5137,3584,0,0.05151,53.528,True,
6,A,S1,simple,,judge,openai,gpt-5,314,565,512,0,0.0060425,6.16,True,5.0
6,B,S1,simple,,judge,openai,gpt-5,252,489,448,0,0.005205,6.184,True,4.0
6,A,S2,simple,,judge,openai,gpt-5,153,99,64,0,0.00118125,2.291,True,5.0
6,B,S2,simple,,judge,openai,gpt-5,174,317,256,0,0.0033875,4.133,True,2.0
6,A,S3,simple,,judge,openai,gpt-5,227,239,192,0,0.00267375,3.718,True,5.0
6,B,S3,simple,,judge,openai,gpt-5,231,438,384,0,0.00466875,5.978,True,3.0
6,A,S4,simple,,judge,openai,gpt-5,206,293,256,0,0.0031875,4.189,True,4.0
6,B,S4,simple,,judge,openai,gpt-5,224,244,192,0,0.00272,3.11,True,2.0
6,A,S5,simple,,judge,openai,gpt-5,355,368,320,0,0.00412375,4.749,True,5.0
6,B,S5,simple,,judge,openai,gpt-5,427,519,448,0,0.00572375,7.212,True,2.0
6,A,S6,simple,,judge,openai,gpt-5,212,887,832,0,0.009135,9.216,True,4.0
6,B,S6,simple,,judge,openai,gpt-5,382,380,320,0,0.0042775,4.51,True,2.0
6,A,S7,simple,,judge,openai,gpt-5,606,629,576,0,0.0070475,26.421,True,5.0
6,B,S7,simple,,judge,openai,gpt-5,479,703,640,0,0.00762875,13.155,True,3.0
6,A,S8,simple,,judge,openai,gpt-5,180,111,64,0,0.001335,2.323,True,5.0
6,B,S8,simple,,judge,openai,gpt-5,323,240,192,0,0.00280375,3.668,True,1.0
6,A,M1,medium,,judge,openai,gpt-5,699,884,832,0,0.00971375,12.174,True,4.0
6,B,M1,medium,,judge,openai,gpt-5,586,1114,1024,0,0.0118725,15.779,True,4.0
6,A,M2,medium,,judge,openai,gpt-5,269,1715,1664,0,0.01748625,19.476,True,4.0
6,B,M2,medium,,judge,openai,gpt-5,213,678,640,0,0.00704625,8.619,True,4.0
6,A,M3,medium,,judge,openai,gpt-5,514,679,640,0,0.0074325,6.876,True,5.0
6,B,M3,medium,,judge,openai,gpt-5,458,825,768,0,0.0088225,9.776,True,5.0
6,A,M4,medium,,judge,openai,gpt-5,738,818,768,0,0.0091025,27.487,True,5.0
6,B,M4,medium,,judge,openai,gpt-5,1199,819,768,0,0.00968875,16.906,True,4.0
6,A,M5,medium,,judge,openai,gpt-5,593,893,832,0,0.00967125,15.039,True,4.0
6,B,M5,medium,,judge,openai,gpt-5,818,630,576,0,0.0073225,8.359,True,3.0
6,A,M6,medium,,judge,openai,gpt-5,454,258,192,0,0.0031475,3.367,True,5.0
6,B,M6,medium,,judge,openai,gpt-5,494,443,384,0,0.0050475,4.973,True,4.0
6,A,M7,medium,,judge,openai,gpt-5,915,504,448,0,0.00618375,6.179,True,4.0
6,B,M7,medium,,judge,openai,gpt-5,675,576,512,0,0.00660375,6.736,True,5.0
6,A,M8,medium,,judge,openai,gpt-5,305,809,768,0,0.00847125,8.125,True,5.0
6,B,M8,medium,,judge,openai,gpt-5,355,715,640,0,0.00759375,10.433,True,3.0
6,A,H1,hard,,judge,openai,gpt-5,289,573,512,0,0.00609125,6.989,True,5.0
6,B,H1,hard,,judge,openai,gpt-5,312,557,512,0,0.00596,7.864,True,5.0
6,A,H2,hard,,judge,openai,gpt-5,1063,1269,1216,0,0.01401875,33.701,True,5.0
6,B,H2,hard,,judge,openai,gpt-5,1137,1079,1024,0,0.01221125,16.159,True,5.0
6,A,H3,hard,,judge,openai,gpt-5,597,559,512,0,0.00633625,6.539,True,5.0
6,B,H3,hard,,judge,openai,gpt-5,563,874,832,0,0.00944375,10.436,True,5.0
6,A,H4,hard,,judge,openai,gpt-5,1150,550,512,0,0.0069375,5.715,True,5.0
6,B,H4,hard,,judge,openai,gpt-5,1289,1011,960,0,0.01172125,11.629,True,4.0
6,A,H5,hard,,judge,openai,gpt-5,235,428,384,0,0.00457375,4.816,True,4.0
6,B,H5,hard,,judge,openai,gpt-5,252,243,192,0,0.002745,2.573,True,5.0
6,A,H6,hard,,judge,openai,gpt-5,1056,442,384,0,0.00574,13.364,True,5.0
6,B,H6,hard,,judge,openai,gpt-5,781,434,384,0,0.00531625,5.348,True,5.0
6,A,H7,hard,,judge,openai,gpt-5,452,560,512,0,0.006165,9.644,True,4.0
6,B,H7,hard,,judge,openai,gpt-5,492,618,576,0,0.006795,16.862,True,5.0
6,A,H8,hard,,judge,openai,gpt-5,1433,576,512,0,0.00755125,11.068,True,5.0
6,B,H8,hard,,judge,openai,gpt-5,1694,437,384,0,0.0064875,7.103,True,5.0
